Num,FileName,NumberOfNucleotides,NumberOfWeakBonds,IsPseudoknotted,TimeToGenerateStructuralRNATree[ns]
1,"CRW_16S_A_C_19_nH.db",1498,469,Yes,6508846
2,"CRW_16S_A_C_1_nH.db",1504,471,Yes,3310246
3,"CRW_16S_A_C_20_nH.db",1495,468,Yes,2288365
4,"CRW_16S_A_C_21_nH.db",1495,468,Yes,1576546
5,"CRW_16S_A_C_25_nH.db",1505,475,Yes,1096211
6,"CRW_16S_A_E_10_nH.db",1481,463,Yes,638852
7,"CRW_16S_A_E_11_nH.db",1481,463,Yes,1842453
8,"CRW_16S_A_E_13_nH.db",1473,460,Yes,434542
9,"CRW_16S_A_E_14_nH.db",1476,461,Yes,419090
10,"CRW_16S_A_E_15_nH.db",1472,462,Yes,415242
11,"CRW_16S_A_E_16_nH.db",1512,474,Yes,427244
12,"CRW_16S_A_E_17_nH.db",1496,469,Yes,418451
13,"CRW_16S_A_E_18_nH.db",1500,473,Yes,437579
14,"CRW_16S_A_E_23_nH.db",1487,468,Yes,419633
15,"CRW_16S_A_E_24_nH.db",1473,462,Yes,410240
16,"CRW_16S_A_E_2_nH.db",1493,471,Yes,443079
17,"CRW_16S_A_E_3_nH.db",1473,461,Yes,590147
18,"CRW_16S_A_E_4_nH.db",1473,461,Yes,345668
19,"CRW_16S_A_E_5_nH.db",1473,462,Yes,333546
20,"CRW_16S_A_E_6_nH.db",1474,458,Yes,337547
21,"CRW_16S_A_E_7_nH.db",1477,462,Yes,350999
22,"CRW_16S_A_E_8_nH.db",1468,460,Yes,386898
23,"CRW_16S_A_E_9_nH.db",1467,457,Yes,421096
24,"CRW_16S_A_N_12_nH.db",1501,474,Yes,368664
